Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,26.37450321,26.0461298,21.4425588,22.00078616,21.03624511,20.77193616,20.31835337,20.42681771,20.58766915,20.31156677,26.19487524,25.93402441,25.67116178,26.42045209,26.51729342,27.20070778,26.94772597,27.89502282,26.22955267,25.91532206,24.67052887,24.50751622,13.15772231,8.353561008,8.410064178,,,,
Afghanistan,0.210643419,0.183363552,0.096196581,0.085087108,0.075806494,0.068639862,0.062434611,0.056642345,0.052763218,0.04072254,0.037234781,0.037846136,0.047377324,0.050481336,0.038410043,0.051743965,0.062427532,0.083892806,0.151720912,0.238398541,0.28998763,0.406424217,0.345148783,0.310341015,0.293946407,,,,
Angola,0.431743615,0.41553083,0.410522932,0.441721098,0.288119068,0.787032547,0.726233461,0.496361245,0.47581516,0.577082914,0.581961496,0.574316054,0.722958875,0.500225396,1.001878117,0.985736355,1.105019027,1.203134,1.185000494,1.234425074,1.244091538,1.252680841,1.330218567,1.25377617,1.290306776,,,,
Albania,1.678106654,1.3122126,0.774724911,0.723790292,0.600203708,0.654537133,0.636625313,0.49036506,0.560271437,0.960164412,0.978174681,1.053304176,1.229540709,1.412697196,1.376212735,1.412498211,1.302576367,1.322334855,1.484311139,1.495600199,1.578573584,1.803714725,1.692908325,1.749211079,1.978763312,,,,
Andorra,7.467335669,7.182456636,6.912053389,6.736054846,6.494200424,6.662051684,7.065071473,7.239712718,7.660783886,7.975454404,8.019284294,7.786950001,7.590615141,7.315760706,7.358624941,7.299871936,6.746052128,6.519387064,6.427809974,6.121579863,6.122594702,5.867410176,5.916884031,5.901775324,5.832906215,,,,
Arab World,3.016958841,3.236644873,3.415484909,3.669445627,3.674358206,3.424009524,3.328303681,3.145532205,3.349967185,3.328341058,3.703857081,3.607956149,3.604612754,3.796467412,4.068562415,4.185677306,4.285719182,4.117147549,4.408948273,4.562015124,4.636813439,4.559461655,4.837779594,4.674924823,4.886987513,,,,
United Arab Emirates,28.44462414,29.43022518,28.31938861,30.36176287,31.87389257,29.24987806,16.17068196,15.58984481,28.96879086,26.42410404,35.91576427,30.70638223,24.34879643,28.78331607,27.83302905,25.3144861,23.37186043,21.98593349,22.19548989,21.21405954,18.80851973,18.49161681,19.29492038,18.55923617,22.93960631,,,,
Argentina,3.438151412,3.539959219,3.619280358,3.471494485,3.558099412,3.674141708,3.830198391,3.870270007,3.876926392,4.030588815,3.854991948,3.587350317,3.309683688,3.546088324,4.094082917,4.168128548,4.465186021,4.414246417,4.718224428,4.445387803,4.607163748,4.64437307,4.609179856,4.498539995,4.781507775,,,,
Armenia,,,1.692469568,0.759981244,0.824153606,1.059975483,0.809044887,1.032301987,1.081691081,0.97580205,1.128917501,1.161155504,1.00317471,1.136090873,1.214707803,1.46002558,1.481274594,1.726828042,1.911933411,1.509669013,1.46561782,1.709501839,1.974479488,1.897040086,1.898719374,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
