Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,0.268747069,0.234954768,0.238777584,0.195134319,0.18324054,0.173371733,0.167474285,0.160095867,0.157875691,0.160927638,0.175266081,0.180523335,0.181390903,0.184549671,0.187054711,0.18659945,0.189937227,0.190059132,0.193546026,0.299773816,5.464715906,5.661788374,6.855849569,6.889752984,6.927501542,6.726747566,,,
Afghanistan,15.92453168,17.03644353,26.52162865,30.58566705,32.79625055,35.07564029,37.9457475,41.43260087,44.09433685,52.18577437,54.24312637,54.05505504,43.77114857,42.27614088,49.8431477,40.85917122,37.13724949,33.86257883,21.34370808,17.81385476,14.83980596,11.48270623,13.97358569,16.33429251,19.31426861,18.42347717,,,
Angola,72.25525192,71.8886392,72.72328252,71.27705632,72.22026891,73.94588834,73.13960045,73.73441595,76.81979363,73.41078383,74.61817144,73.75785896,72.12512644,67.30611672,65.49306462,70.95420236,65.02256418,61.5997035,58.10797504,55.74897651,54.19383662,52.71567876,52.24573631,50.68611601,50.79746068,49.56821033,,,
Albania,25.51808763,32.99817424,46.81332881,51.1520423,51.45954422,50.60970958,51.63636056,55.95334942,49.98336544,42.71831341,41.44541557,39.12566375,35.89629403,33.75272883,35.93586809,36.86948919,31.71019543,32.10093721,35.91290611,37.2166378,37.11532977,35.9625316,40.0482996,41.28897372,38.68950076,38.61521047,,,
Andorra,14.27355021,14.27355021,14.30875446,13.91895459,14.56102442,14.48104808,14.1000476,14.19400246,14.45864172,14.54989054,14.89066404,15.77386809,16.22181888,16.91230759,16.87442812,16.90243685,17.48599429,16.94077654,17.42274058,17.51594817,19.09072997,18.97154584,19.19552869,19.56369803,19.88632294,19.74780863,,,
Arab World,7.344357767,7.284092766,6.91296591,6.737793486,6.914191777,6.817911043,6.80520668,6.843938083,6.757473332,6.744100456,6.609618379,6.428216218,6.280437056,6.381948158,6.718286701,6.371205285,6.180542878,5.600932865,5.153669002,5.049516514,4.839533843,4.697129592,4.167045031,4.226176912,4.170017467,4.094036566,,,
United Arab Emirates,0,0,0.188369133,0.150356177,0.12014534,0.112604486,0.080332347,0.076355659,0.072469921,0.071648551,0.076377173,0.064705856,0.066607545,0.066360533,0.100562138,0.105394829,0.117608668,0.114585957,0.110343115,0.106410818,0.108121925,0.108040123,0.104984898,0.111770805,0.145671401,0.137108046,,,
Argentina,8.922907467,8.748184307,9.471649616,10.12834244,10.73490935,11.20518463,10.19385559,10.9990734,11.34300914,10.30617339,11.07795513,13.04037294,13.28797812,12.51812857,8.348045534,8.957601755,10.18784108,8.887648979,7.60968712,8.574061175,8.961445952,10.11684672,9.866701702,10.2103229,10.90195793,10.04007761,,,
Armenia,2.118944341,2.309435803,6.677678941,12.93683368,17.76365341,9.274352707,12.47330437,10.12011439,9.380563414,8.358795379,7.164263504,5.419112661,8.899366755,9.811614683,8.707900134,6.491173797,7.652835334,7.01726248,6.405167492,7.800556095,9.359817006,8.009615307,6.565711312,6.771217636,7.72473444,15.79200384,,,
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.702426574,0.70314054,0.700882415,0.885478202,,,
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Australia,8.009577159,8.24547226,7.516470972,8.616993882,8.259946779,8.217805712,8.86597056,9.080242836,8.595072694,8.507273787,8.423340659,8.370281372,8.738720713,7.15106567,6.680425721,6.711974547,6.853266823,6.95158629,6.789569274,7.112827151,8.109027293,8.25618115,8.247109347,9.08848191,9.278198457,9.18050296,,,
Austria,25.13575415,24.49579821,26.13679158,26.35780775,25.67945465,25.63008795,24.03687734,24.8710509,24.40935442,26.43831079,26.38785604,25.48367904,24.6848697,22.57879408,23.2193673,24.17441742,26.25426252,28.60093207,29.3561662,30.51438899,30.65921657,30.98859372,33.42653748,34.68060041,35.39427334,34.39499175,,,
Azerbaijan,0.722062718,0.804646398,1.217250557,1.983066048,1.515961004,1.366840065,1.738902664,1.989848785,2.4843814,2.143936114,2.065646075,1.752523491,2.351898561,2.944782106,3.070784463,3.365196156,2.86158685,3.78869995,3.086307459,3.269144729,4.449734285,3.556332586,2.845521872,2.52609484,2.116818616,2.310757686,,,
Burundi,95.20067222,94.23866263,94.99578261,94.90709274,95.11796023,95.11184389,95.18932706,95.24278522,95.26169809,93.74959579,93.22569284,96.23083435,96.15680296,97.01558988,97.26518421,97.29141828,96.85641478,96.89275161,96.84610775,96.91966596,96.75782464,96.59420681,93.9586937,94.06924338,94.59818282,95.67892425,,,
Belgium,1.269461495,1.215081737,1.194333201,0.956473288,0.939572924,1.26038954,1.184407099,1.148478311,1.291956464,1.400650838,1.447083486,1.584987781,1.685710341,1.891079819,2.02423789,2.466935523,2.826623887,3.329081249,3.911750297,4.833459354,5.837391476,6.632065148,7.758729066,8.129434523,9.073995098,9.201640531,,,
Benin,93.70324086,94.96484833,94.85183513,94.98880117,94.97503519,94.77198722,84.14596757,80.62643185,79.56843189,76.9054247,70.28899198,66.85370117,64.03772072,61.73019321,60.69054957,59.19080917,57.302921,54.48609571,54.75762224,52.82784348,48.1172541,49.4518136,51.14601561,52.71099969,52.53798821,50.86261794,,,
Burkina Faso,93.15806029,93.25382296,93.29009799,93.47999276,93.60809416,93.14020004,92.15659354,91.39095485,91.01254906,86.85491661,85.4050025,83.6759129,79.34135094,79.07897108,83.52805966,86.54367413,84.61568101,82.42881695,82.93988509,83.59720868,81.45402374,80.5721976,77.17503674,75.42696802,75.24264911,74.16718786,,,
Bangladesh,71.6649713,73.15966732,71.66070373,70.55712302,68.97990719,63.80280917,62.1240766,59.97285612,60.23397129,60.53439575,59.00848427,55.79384213,54.32211192,52.63786238,52.12359365,50.7759641,48.90239769,47.48291615,45.58141547,43.68911699,41.05084179,39.43785524,38.61267863,38.76048127,37.63448349,34.74706901,,,
Bulgaria,1.916848509,2.250552832,2.681073481,2.467834604,2.380942269,3.106707196,3.546340551,3.809662787,5.889736549,6.627507829,7.983176683,7.284526174,8.733318915,9.164047114,9.601410312,9.89133044,10.00376331,8.870486173,9.950698837,11.66017379,14.3675278,13.27702936,15.75145216,18.15701907,16.96662481,17.65007793,,,
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
"Bahamas, The",0,0,0,0,0,0,0,0,0,0,0,0.449767772,0.415960383,1.688629142,1.704699774,1.836391251,2.168172692,3.706604608,2.146393822,1.915094489,1.65566802,1.426272685,1.18468573,0.843903144,1.088802769,1.210512884,,,
Bosnia and Herzegovina,7.300098695,8.759514761,11.57373703,14.60941503,33.38614494,33.22296632,32.8526732,27.59825743,26.73914622,28.43107732,19.35300602,20.27413108,21.21463539,20.14059236,20.10019147,19.7354797,18.12465907,14.84060655,14.27801053,17.43482699,19.56884689,14.15822839,15.27916627,19.47739656,41.74546278,40.75006023,,,
